epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,129.514,1.34762,1.24482,1.44439,0.85773,0.69211,0.76343,0.48666,1.37268,1.33412,1.53301,7.94819e-05,7.94819e-05,7.94819e-05
177,130.229,1.35122,1.23252,1.48126,0.85404,0.69871,0.76508,0.49032,1.37043,1.32807,1.5365,7.4616e-05,7.4616e-05,7.4616e-05
178,133.728,1.23054,1.04579,1.33552,0.85404,0.69871,0.76508,0.49032,1.37043,1.32807,1.5365,6.99393e-05,6.99393e-05,6.99393e-05
179,134.302,1.28639,1.11404,1.41317,0.84687,0.7033,0.76347,0.49383,1.37121,1.32177,1.54041,6.54531e-05,6.54531e-05,6.54531e-05
180,134.863,1.22656,1.05053,1.32412,0.84685,0.6958,0.76521,0.49384,1.36211,1.31562,1.53554,6.11585e-05,6.11585e-05,6.11585e-05
181,135.429,1.24707,1.09073,1.36691,0.84685,0.6958,0.76521,0.49384,1.36211,1.31562,1.53554,5.70564e-05,5.70564e-05,5.70564e-05
182,136.01,1.26752,1.13828,1.39498,0.84681,0.7033,0.76622,0.49696,1.35545,1.31483,1.528,5.31481e-05,5.31481e-05,5.31481e-05
183,136.568,1.22127,1.12927,1.38499,0.85513,0.7033,0.77484,0.49437,1.35105,1.3094,1.52454,4.94343e-05,4.94343e-05,4.94343e-05
184,137.127,1.24844,1.10434,1.38751,0.85513,0.7033,0.77484,0.49437,1.35105,1.3094,1.52454,4.5916e-05,4.5916e-05,4.5916e-05
185,137.687,1.19379,1.04948,1.3309,0.86321,0.7033,0.78545,0.50186,1.34331,1.30884,1.51951,4.25941e-05,4.25941e-05,4.25941e-05
186,139.197,1.28292,1.19207,1.44559,0.86321,0.7033,0.78545,0.50186,1.34331,1.30884,1.51951,3.94694e-05,3.94694e-05,3.94694e-05
187,140.265,1.19823,1.10926,1.39568,0.83512,0.69932,0.76493,0.48688,1.36618,1.29773,1.53082,3.65426e-05,3.65426e-05,3.65426e-05
188,140.822,1.18345,1.11238,1.36406,0.78772,0.72236,0.76239,0.47728,1.38753,1.30918,1.54009,3.38146e-05,3.38146e-05,3.38146e-05
189,141.367,1.22414,1.14492,1.45473,0.78772,0.72236,0.76239,0.47728,1.38753,1.30918,1.54009,3.12859e-05,3.12859e-05,3.12859e-05
190,141.914,1.26124,1.2311,1.46243,0.82767,0.69134,0.75699,0.46917,1.39655,1.32312,1.54377,2.89573e-05,2.89573e-05,2.89573e-05
191,142.467,1.28129,1.24311,1.46804,0.81013,0.71167,0.74718,0.45539,1.44359,1.35741,1.57754,2.68292e-05,2.68292e-05,2.68292e-05
192,143.002,1.31216,1.30035,1.44366,0.81013,0.71167,0.74718,0.45539,1.44359,1.35741,1.57754,2.49021e-05,2.49021e-05,2.49021e-05
193,143.559,1.25329,1.16678,1.40829,0.81136,0.70091,0.74097,0.44507,1.47295,1.37406,1.59547,2.31767e-05,2.31767e-05,2.31767e-05
194,144.103,1.25872,1.20501,1.48572,0.81136,0.70091,0.74097,0.44507,1.47295,1.37406,1.59547,2.16532e-05,2.16532e-05,2.16532e-05
195,144.647,1.20309,1.18249,1.36116,0.79133,0.71409,0.7378,0.44305,1.47944,1.37903,1.59505,2.03321e-05,2.03321e-05,2.03321e-05
196,145.356,1.14439,1.10004,1.37197,0.83612,0.67613,0.73926,0.44067,1.49164,1.39811,1.60516,1.92137e-05,1.92137e-05,1.92137e-05
197,145.926,1.2059,1.15965,1.39519,0.83612,0.67613,0.73926,0.44067,1.49164,1.39811,1.60516,1.82983e-05,1.82983e-05,1.82983e-05
198,146.475,1.29878,1.2008,1.45457,0.84036,0.67613,0.73852,0.44094,1.49788,1.39867,1.6059,1.7586e-05,1.7586e-05,1.7586e-05
199,147.023,1.26337,1.21509,1.45516,0.84196,0.67613,0.73818,0.44131,1.50281,1.41436,1.61477,1.70772e-05,1.70772e-05,1.70772e-05
200,147.55,1.24503,1.1349,1.43205,0.84196,0.67613,0.73818,0.44131,1.50281,1.41436,1.61477,1.67718e-05,1.67718e-05,1.67718e-05
