epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,41.4326,2.08436,2.24765,2.09604,0.48919,0.42882,0.39397,0.10938,2.3665,2.65436,2.44471,0.00150171,0.00150171,0.00150171
43,42.0205,1.95137,2.16706,2.01224,0.38137,0.36447,0.35776,0.0904,2.33469,2.76713,2.51039,0.00149384,0.00149384,0.00149384
44,42.6046,1.91042,2.13488,1.97708,0.43373,0.41639,0.38219,0.13379,2.04553,2.64718,2.15359,0.00148582,0.00148582,0.00148582
45,43.3242,1.95233,2.11142,1.94623,0.43373,0.41639,0.38219,0.13379,2.04553,2.64718,2.15359,0.00147764,0.00147764,0.00147764
46,43.9188,1.91264,2.07509,1.90379,0.35918,0.39659,0.35868,0.11554,2.14013,2.68757,2.20777,0.0014693,0.0014693,0.0014693
47,44.4875,1.93147,2.2958,1.95515,0.38711,0.36205,0.35456,0.10649,2.20774,2.62566,2.27809,0.0014608,0.0014608,0.0014608
48,45.0429,1.85447,2.06769,1.91841,0.38711,0.36205,0.35456,0.10649,2.20774,2.62566,2.27809,0.00145215,0.00145215,0.00145215
49,45.6564,1.90473,2.1392,1.94625,0.4561,0.41837,0.41522,0.15401,2.08218,2.37313,2.11741,0.00144335,0.00144335,0.00144335
50,46.2287,1.85411,2.06631,1.88888,0.4561,0.41837,0.41522,0.15401,2.08218,2.37313,2.11741,0.00143441,0.00143441,0.00143441
51,46.8074,1.80246,2.06943,1.85494,0.52627,0.49054,0.48818,0.19375,1.90932,2.22966,1.97802,0.00142531,0.00142531,0.00142531
52,47.3901,1.85401,2.10663,1.89442,0.47049,0.50176,0.47859,0.18377,1.92144,2.25676,1.98771,0.00141608,0.00141608,0.00141608
53,47.9586,1.77519,2.0531,1.85809,0.47049,0.50176,0.47859,0.18377,1.92144,2.25676,1.98771,0.0014067,0.0014067,0.0014067
54,48.6739,1.77931,2.05743,1.83575,0.52783,0.43619,0.48253,0.1768,1.98133,2.36475,2.04599,0.00139718,0.00139718,0.00139718
55,49.246,1.75152,1.98695,1.80698,0.5449,0.48075,0.52768,0.19176,1.99338,2.25093,2.00341,0.00138753,0.00138753,0.00138753
56,49.8277,1.80757,2.08987,1.86597,0.5449,0.48075,0.52768,0.19176,1.99338,2.25093,2.00341,0.00137774,0.00137774,0.00137774
57,50.435,1.83058,2.06814,1.90181,0.53484,0.47338,0.52373,0.20699,1.96928,2.22598,2.00019,0.00136781,0.00136781,0.00136781
58,50.991,1.80737,2.01192,1.84946,0.53484,0.47338,0.52373,0.20699,1.96928,2.22598,2.00019,0.00135776,0.00135776,0.00135776
59,51.5589,1.86234,1.94629,1.84694,0.70978,0.44862,0.56438,0.20094,1.98155,2.29891,2.00952,0.00134758,0.00134758,0.00134758
60,52.1213,1.8381,2.06901,1.84399,0.64752,0.42145,0.50995,0.19755,1.97774,2.251,1.98199,0.00133728,0.00133728,0.00133728
61,52.6958,1.75324,2.02048,1.81177,0.64752,0.42145,0.50995,0.19755,1.97774,2.251,1.98199,0.00132685,0.00132685,0.00132685
